time,height,velocity_z
0,17.01,8.321
0.008333,19.539999,304.001
0.016667,22.109999,308.021
0.025001,24.71,312.041
0.033334,27.34,316.061
0.041667,30.01,320.081
0.05,32.71,324.101
0.058333,35.469997,330.831
0.066667,38.28,337.561
0.075001,41.149998,344.291
0.083334,44.079998,351.021
0.091667,47.059998,357.751
0.1,50.1,364.481
0.108334,53.19,371.211
0.116667,56.34,377.941
0.125,59.55,384.671
0.133333,62.809998,391.401
0.141667,66.13,398.131
0.150001,69.5,404.861
0.158334,72.93,411.591
0.166667,76.42,418.32098
0.175,79.96,425.051
0.183333,83.56,431.781
0.191667,87.21,438.511
0.200001,90.92,445.241
0.208334,94.59,439.82098
0.216667,98.21,434.401
0.225,101.78,428.981
0.233334,105.31,423.561
0.241667,108.79,418.141
0.25,112.229996,412.721
0.258333,115.619995,407.301
0.266667,118.96999,401.881
0.275001,122.27,396.461
0.283334,125.53,391.041
0.291667,128.73999,385.621
0.3,131.91,380.201
0.308333,135.03,374.781
0.316667,138.11,369.361
0.325001,141.14,363.941
0.333334,144.12999,358.521
0.341667,147.06999,353.101
0.35,149.97,347.681
0.358334,152.81999,342.261
0.366667,155.62999,336.841
0.375,158.39,331.421
0.383333,161.11,326.001
0.391667,163.78,320.581
0.400001,166.41,315.161
0.408334,168.98999,309.741
0.416667,171.53,304.321
0.425,174.01999,298.901
0.433333,176.47,293.481
0.441667,178.87,288.061
0.450001,181.23,282.641
0.458334,183.54,277.221
0.466667,185.81,271.801
0.475,188.03,266.381
0.483334,190.2,260.961
0.491667,192.33,255.541
0.5,194.40999,250.121
0.508333,196.45,244.701
0.516667,198.44,239.281
0.525001,200.39,233.86101
0.533334,202.29,228.44101
0.541667,204.15,223.021
0.55,205.95999,217.601
0.558333,207.73,212.181
0.566667,209.45,206.761
0.575001,211.12999,201.341
0.583334,212.76,195.921
0.591667,214.34999,190.501
0.6,215.89,185.08101
0.608334,217.39,179.661
0.616667,218.84,174.241
0.625,220.25,168.821
0.633333,221.61,163.401
0.641667,222.93,157.981
0.650001,224.2,152.561
0.658334,225.43,147.141
0.666667,226.61,141.72101
0.675,227.75,136.30101
0.683333,228.84,130.881
0.691667,229.89,125.461
0.700001,230.89,120.041
0.708334,231.84999,114.620995
0.716667,232.76,109.201
0.725,233.62,103.781
0.733334,234.43999,98.361
0.741667,235.20999,92.940994
0.75,235.93999,87.520996
0.758333,236.62,82.101
0.766667,237.26,76.681
0.775001,237.84999,71.261
0.783334,238.4,65.840996
0.791667,238.9,60.420998
0.8,239.36,55.001
0.808333,239.76999,49.580997
0.816667,240.14,44.161
0.825001,240.45999,38.740997
0.833334,240.73999,33.321
0.841667,240.97,27.901
0.85,241.15999,22.480999
0.858334,241.29999,17.060999
0.866667,241.4,11.641
0.875,241.45,6.2209997
0.883333,241.45999,0.80099994
0.891667,241.42,-4.611
0.900001,241.34,-10.021
0.908334,241.20999,-15.431
0.916667,241.04,-20.841
0.925,240.81999,-26.251
0.933333,240.56,-31.661
0.941667,240.25,-37.071
0.950001,239.9,-42.481
0.958334,239.5,-47.891
0.966667,239.06,-53.301
0.975,238.56999,-58.711
0.983334,238.04,-64.120995
0.991667,237.45999,-69.531
1,236.84,-74.940994
1.008333,236.17,-80.351
1.016667,235.45999,-85.760994
1.025001,234.7,-91.171
1.033334,233.9,-96.58099
1.041667,233.04999,-101.991
1.05,232.15,-107.40099
1.058333,231.20999,-112.811
1.066667,230.22,-118.22099
1.075001,229.19,-123.631
1.083334,228.11,-129.041
1.091667,226.98999,-134.451
1.1,225.81999,-139.86101
1.108334,224.61,-145.27101
1.116667,223.34999,-150.681
1.125,222.04999,-156.091
1.133333,220.7,-161.501
1.141667,219.31,-166.91101
1.150001,217.87,-172.321
1.158334,216.39,-177.731
1.166667,214.86,-183.141
1.175,213.29,-188.55101
1.183333,211.67,-193.961
1.191667,210.01,-199.371
1.200001,208.29999,-204.781
1.208334,206.54999,-210.19101
1.216667,204.75,-215.601
1.225,202.90999,-221.011
1.233334,201.01999,-226.421
1.241667,199.09,-231.83101
1.25,197.11,-237.241
1.258333,195.09,-242.651
1.266667,193.01999,-248.061
1.275001,190.90999,-253.47101
1.283334,188.75,-258.881
1.291667,186.55,-264.29102
1.3,184.3,-269.701
1.308333,182.01,-275.111
1.316667,179.67,-280.521
1.325001,177.29,-285.931
1.333334,174.86,-291.341
1.341667,172.39,-296.751
1.35,169.87,-302.161
1.358334,167.31,-307.571
1.366667,164.7,-312.981
1.375,162.05,-318.391
1.383333,159.34999,-323.801
1.391667,156.61,-329.211
1.400001,153.81999,-334.621
1.408334,150.98999,-340.031
1.416667,148.11,-345.441
1.425,145.19,-350.851
1.433333,142.22,-356.261
1.441667,139.20999,-361.671
1.450001,136.15,-367.081
1.458334,133.05,-372.491
1.466667,129.9,-377.901
1.475,126.71,-383.311
1.483334,123.46999,-388.721
1.491667,120.189995,-394.131
1.5,116.86,-399.541
1.508333,113.49,-404.951
1.516667,110.07,-410.361
1.525001,106.61,-415.771
1.533334,103.1,-421.181
1.541667,99.549995,-426.591
1.55,95.95,-432.001
1.558333,92.299995,-437.411
1.566667,88.61,-442.82098
1.575001,84.869995,-448.231
1.583334,81.09,-453.641
1.591667,77.259995,-459.051
1.6,73.39,-464.461
1.608334,69.47,-469.871
1.616667,65.51,-475.281
1.625,61.5,-480.691
1.633333,57.449997,-486.10098
1.641667,53.35,-491.511
1.650001,49.21,-496.921
1.658334,45.02,-502.331
1.666667,40.79,-507.741
1.675,36.51,-513.15094
1.683333,32.19,-518.561
1.691667,27.82,-451.671
1.700001,23.99,-384.881
1.708334,20.71,-318.361
1.716667,17.99,-254.341
1.725,15.799999,-114.58099
1.733334,14.78,-37.571
1.741667,14.4,3.5709999
1.75,14.36,24.351
1.758333,14.5,31.671
1.766667,14.7,33.531
1.775001,14.91,33.871
1.783334,15.12,33.211
1.791667,15.33,31.921
1.8,15.53,30.230999
1.808333,15.71,28.331
1.816667,15.88,26.380999
1.825001,16.029999,24.440998
1.833334,16.17,22.591
1.841667,16.289999,20.831
1.85,16.4,19.220999
1.858334,16.49,17.751
1.866667,16.57,16.441
1.875,16.64,15.281
1.883333,16.699999,14.261
1.891667,16.75,13.361
1.900001,16.789999,12.581
1.908334,16.83,11.9210005
1.916667,16.859999,11.341001
1.925,16.89,10.851
1.933333,16.91,10.411
1.941667,16.93,10.051001
1.950001,16.949999,9.741
1.958334,16.96,9.461
1.966667,16.97,9.241
1.975,16.98,9.061
1.983334,16.99,8.911
1.991667,17,8.771
2,17.01,8.641
2.008333,17.01,8.521
2.016667,17.01,8.441
2.025001,17.01,8.391
2.033334,17.01,8.361
2.041667,17.01,8.341001
2.05,17.01,8.331
2.058333,17.01,8.321